reference,Count
19429_gnd,2
42841_yiaM,18
10635_dsdA,1
5183_bisC,2
2480_argF,3
2422_argF,95
30278_oppA,2
9757_dsbA,1
2542_arnA,8
26563_malX,9
32322_potC,55
37925_tauC,1
6408_coaE,1
40475_wcaJ,3
42166_yfbR,1
15041_fumC,2
15778_galE,1
2483_argF,61
29760_nuoI,4
32429_ppsA,4
37667_tauB,3
26869_malX,5
1126_ansA,5
5709_cdh,7
6734_cpsB,83
33709_purD,2
5077_bioH,53
11953_fadI,1
16860_gatB,1
8993_dcuC,4
23752_kbl,20
2831_arnB,2
20179_hisA,7
30649_oppC,1
41989_yeaE,1
2988_arnT,193
7092_cpsB,2
13010_fepA,1
33665_purD,4
20589_hisC,1
17232_gcvT,8
25947_lpxK,1
724_allB,2
9042_dcuC,1
7089_cpsB,2
40270_ugd,1
18267_glpB,4
42595_yfdR,7
42591_yfdR,5
42239_yfcG,1
27280_menH,1
39758_ubiE,127
39757_ubiE,56
20874_hisC,2
27100_manA,1
23210_ilvI,1
14020_fepD,2
38995_trpD,2
19945_hchA,2
1398_ansA,42
20548_hisB,54
36932_sad,67
24176_kdgK,4
3816_aroK,1
40332_ugpQ,4
23683_kbl,5
41249_wcaJ,1
11969_fadJ,1
30341_oppA,1
40359_ugpQ,11
30423_oppA,11
24061_kdgK,2
24281_kdsC,5
34847_purN,4
22163_hycD,166
7972_cysM,1
34063_purH,1
38613_thrA,1
16629_garR,1
38701_thrB,9
2685_arnB,6
27837_mobB,21
22910_iaaA,1
3141_aroA,52
5178_bisC,9
32978_pstB,21
37281_solA,2
17037_gatB,4
25230_ldtA,45
30013_ompC,2
15187_gabD,1
14081_fepD,1
36530_rpiB,2
36529_rpiB,1
36498_rpiB,6
24884_lamB,13
7370_cusC,1
12069_fadJ,3
32210_pldA,1
26581_malX,5
21406_hisH,2
11699_fadB,2
12738_fecC,7
17931_glgX,40
29656_nrfD,1
12331_fadL,6
9943_dsbC,1
9432_dgoK,5
40774_wcaJ,3
6824_cpsB,1
5252_bisC,1
15418_gabD,1
18975_gnd,48
38506_thiH,3
21884_hisQ,1
4120_astB,40
4103_astB,3
36785_rutD,4
10628_dsdA,4
25525_leuB,1
14288_fepG,1
10665_dsdA,34
7525_cusC,2
40448_wcaJ,2
1465_ansB,1
28851_nanA,3
6185_citF,1
20959_hisD,94
26475_malX,21
34669_purL,7
14410_fepG,11
17128_gcvP,16
5951_cirA,8
22787_hyfF,4
34687_purL,3
31479_pbpC,1
41720_wzxE,11
33581_purD,14
6732_cpsB,62
6540_cobT,2
18614_glpQ,1
21125_hisF,1
13949_fepD,5
17957_glgX,2
9217_deoD,9
17052_gcl,6
35074_purT,153
37909_tauC,1
33085_psuG,1
41574_wzxE,1
29215_nikC,3
38192_tdcG,6
1169_ansA,5
19436_gnd,2
32375_ppc,4
32987_psuG,11
21333_hisH,2
43012_zntA,81
23993_kdgK,1
35938_pyrE,8
5903_cirA,9
36014_pyrF,1
42807_yiaM,1
1094_anmK,1
27032_manA,2
20326_hisB,2
10776_eda,6
11034_entF,2
34958_purR,1
5717_chbG,1
15083_fumC,1
41729_wzxE,1
38714_thrB,1
37076_sodB,10
24928_ldcA,6
36918_sad,7
32530_preA,5
37262_solA,4
12378_fadL,1
2461_argF,62
6272_citX,2
5091_bioH,24
17291_gdhA,2
27894_modB,2
13372_fepB,1
8940_dcuC,1
10129_dsdA,16
28382_mtn,2
22138_hscC,8
12796_fecC,80
11892_fadI,1
10307_dsdA,6
5651_btuE,8
24300_kdsC,1
9991_dsbG,11
42683_yiaM,1
35833_pyrE,2
14495_fhuA,7
38239_tehB,82
22447_hyfB,1
29306_nnr,165
39095_trpE,10
39106_trpE,2
6414_coaE,1
20087_hisA,2
20211_hisA,3
35491_putA,104
24948_ldcA,3
21152_hisF,1
23274_katE,5
5383_btuB,3
37041_sodB,53
13443_fepB,4
21468_hisH,4
9367_dgoK,11
34440_purK,1
13520_fepD,58
7937_cysK,6
21480_hisH,6
9514_dkgA,2
7471_cusC,3
15149_gabD,1
35310_purT,2
35775_pyrE,1
2049_argD,1
25917_lptE,3
9779_dsbA,3
28572_nanA,258
20084_hisA,167
42141_yejF,2
27647_metF,213
27467_metC,103
17797_glgB,6
22545_hyfC,1
32936_pstA,5
17379_ghrA,4
11971_fadJ,13
36442_rpe,1
29588_nrfA,1
6229_citF,2
21294_hisH,3
33086_psuG,3
33088_psuG,8
4933_betB,5
38610_thrA,56
7302_cusC,2
36977_sdaB,1
2463_argF,67
36347_rbsC,5
29065_narJ,144
14682_fhuE,108
30601_oppC,1
21064_hisF,1
34408_purK,2
42925_yihU,106
35587_putA,1
13400_fepB,4
17734_gldA,1
11131_exbB,3
19122_gnd,1
33338_psuK,1
11012_entF,8
37024_serC,2
31419_panB,1
21235_hisH,49
27072_manA,6
8229_dacD,9
34269_purH,4
26526_malX,5
2706_arnB,1
16145_galE,5
9989_dsbG,48
11099_eutD,1
42882_yiaY,22
36029_pyrF,7
22880_hyfJ,2
15225_gabD,7
2633_arnA,3
24027_kdgK,5
29064_narJ,85
30025_ompC,126
17064_gcl,9
6846_cpsB,5
11725_fadB,5
39173_trxA,16
26651_malX,7
13384_fepB,1
1877_aphA,9
37212_sodC,9
11551_fabD,2
11635_fadA,4
23891_kbl,59
21145_hisF,1
8525_dapB,2
32888_pssA,1
23654_kbl,16
38848_trpC,1
9404_dgoK,8
31755_pfkB,2
1603_aphA,28
27479_metC,2
34910_purN,199
33692_purD,1
32782_proB,60
15532_gabT,9
27294_mepA,136
24056_kdgK,2
22258_hyfA,2
12409_fbaB,25
438_acnA,1
12330_fadL,3
7232_csdA,4
16312_galE,6
13149_fepB,5
33906_purD,1
15902_galE,1
9501_dgoK,1
27292_mepA,70
20574_hisB,1
18361_glpC,34
37478_sucC,1
25870_lldD,2
24106_kdgK,5
2413_argF,46
707_allB,2
29139_narJ,2
31577_pck,4
13715_fepD,2
41380_wecB,5
25849_lldD,10
20980_hisD,1
23402_kbl,3
9901_dsbC,90
21402_hisH,3
19277_gnd,1
19048_gnd,184
34243_purH,1
23854_kbl,1
33502_purD,4
29285_nnr,10
28349_mtgA,2
15924_galE,1
20208_hisA,2
24103_kdgK,6
27541_metC,8
29668_nrfD,2
9507_dgoK,10
35573_putA,1
20596_hisC,31
31145_oppF,1
21727_hisJ,2
6539_cobT,3
33012_psuG,171
27466_metC,190
10923_entB,3
14490_fhuA,2
3095_arnT,6
31599_pdxJ,2
1913_argD,7
260_acnA,1
42350_yfcG,3
27356_mepA,1
41332_wcaJ,5
16159_galE,5
