reference,Count
13646_fepD,2
36044_pyrF,3
32284_plsC,30
21410_hisH,6
7994_cysM,13
22849_hyfH,1
36471_rpiB,1
27449_metC,50
27448_metC,25
27001_manA,63
12010_fadJ,9
33805_purD,57
20861_hisC,2
33691_purD,2
7613_cusC,1
7897_cysJ,1
31994_pgpB,1
14856_folK,65
16847_gatB,1
41785_ycjG,10
31281_pagP,2
40359_ugpQ,5
34873_purN,76
6027_citD,1
6597_cobT,3
20784_hisC,2
39882_ugd,1
12811_fecC,46
33438_purD,39
25104_ldcC,2
39199_trxA,1
14533_fhuA,4
15874_galE,5
6275_citX,1
29036_narJ,68
9359_dgoK,1
28942_napA,2
22707_hyfE,1
37997_tauC,1
1397_ansA,36
3437_aroG,12
38610_thrA,35
22263_hyfA,3
41800_ycjG,14
38076_tdcG,6
13694_fepD,1
37679_tauC,4
9412_dgoK,1
24012_kdgK,1
22784_hyfF,9
33598_purD,11
4793_betB,14
34768_purN,58
10567_dsdA,1
13048_fepA,5
4614_astE,3
4863_betB,188
6189_citF,6
21985_hisQ,13
33451_purD,12
5185_bisC,1
24236_kdgK,3
14390_fepG,2
32092_phnH,13
41373_wecB,1
33194_psuK,1
8749_dcuC,4
9373_dgoK,1
19808_gudD,14
28569_nanA,7
18444_glpK,1
22154_hycD,25
27608_metC,1
15531_gabT,4
19778_gsiD,25
24346_kdsD,41
38632_thrA,15
42408_yfcG,2
36432_rihC,1
7896_cysJ,3
7898_cysJ,1
34456_purK,1
42108_yejF,4
42813_yiaM,5
33045_psuG,3
37409_sseA,4
25734_leuD,4
17895_glgP,7
27023_manA,1
2988_arnT,102
15354_gabD,3
34696_purN,231
25075_ldcC,1
17960_glgX,3
24028_kdgK,2
12043_fadJ,1
15996_galE,4
2415_argF,107
30767_oppC,3
32267_plsB,3
164_aceB,2
5741_chiP,39
11261_exbD,1
6038_citE,1
37060_sodB,8
38224_tehB,30
554_acrD,33
1497_ansB,6
35006_purT,3
2990_arnT,70
21933_hisQ,5
34771_purN,27
23547_kbl,7
10189_dsdA,1
13954_fepD,15
19378_gnd,27
19757_gsiD,1
6512_cobT,1
33742_purD,5
25622_leuD,1
42825_yiaM,1
13444_fepB,1
36888_sad,8
11535_fabD,1
10691_dsdA,2
21774_hisJ,1
9453_dgoK,1
9454_dgoK,4
40324_ugpQ,1
2388_argE,2
34616_purL,4
21718_hisJ,10
14682_fhuE,47
11294_exbD,4
37084_sodB,1
25584_leuB,4
9333_dgoK,9
19422_gnd,4
40431_wcaJ,2
20958_hisD,51
30306_oppA,41
2462_argF,34
9370_dgoK,13
5140_bioH,6
35491_putA,68
1085_anmK,1
42412_yfdE,1
38410_thiH,118
42045_yejF,5
15147_gabD,2
23266_katE,52
6046_citE,1
27141_manA,5
12826_fecC,1
5880_cirA,3
40391_ushA,2
39885_ugd,1
4977_betB,1
107_aceB,1
36554_rsgA,1
38484_thiH,1
2429_argF,50
27277_menH,3
42698_yiaM,57
11688_fadB,75
42519_yfdR,3
32970_pstB,2
13445_fepB,1
13160_fepB,3
5967_cirA,13
21400_hisH,1
3830_aroK,27
11642_fadA,4
14531_fhuA,1
31068_oppF,1
1207_ansA,4
1699_aphA,9
9299_dgoK,3
32294_plsC,3
428_acnA,1
29934_nuoJ,8
2495_argF,79
43000_zntA,1
35087_purT,1
33802_purD,19
28925_nanC,1
34349_purH,5
7455_cusC,1
34727_purN,5
26343_maeB,6
33273_psuK,2
23280_katE,33
7107_cpsB,1
39394_trxA,1
38403_thiH,2
1380_ansA,1
2488_argF,55
31310_pagP,73
20769_hisC,3
31026_oppF,3
18293_glpC,1
33958_purH,7
28236_msrA,21
10125_dsdA,2
2441_argF,16
23699_kbl,7
32510_preA,21
25128_ldcC,4
18968_glxK,4
7914_cysJ,1
18651_glpQ,2
3990_asnB,1
9188_dcyD,3
4326_astC,4
5663_caiC,8
27119_manA,4
6883_cpsB,5
34515_purL,5
39809_ugd,1
14203_fepG,4
9039_dcuC,3
7920_cysJ,1
18229_gloB,1
19788_gsiD,1
10455_dsdA,1
20627_hisC,2
28118_mqo,59
25648_leuD,1
26937_malY,2
30207_ompN,2
26294_maeA,160
33472_purD,36
38661_thrA,8
1271_ansA,1
14206_fepG,1
30471_oppC,1
10209_dsdA,1
1486_ansB,2
26526_malX,6
32560_preA,4
40698_wcaJ,1
16105_galE,1
5988_citD,26
10838_edd,6
452_acnA,2
22471_hyfB,4
21391_hisH,6
13149_fepB,1
15645_galE,54
3841_aroK,4
33124_psuG,3
21235_hisH,32
5207_bisC,20
13547_fepD,1
37090_sodB,1
26323_maeA,4
21402_hisH,2
16416_galU,1
32209_pldA,1
39757_ubiE,43
16290_galE,2
34817_purN,3
25984_lpxL,1
33919_purE,83
37707_tauC,3
11702_fadB,2
2831_arnB,1
30417_oppA,3
34942_purR,1
16809_gatB,9
13061_fepA,1
32999_psuG,40
34823_purN,104
5134_bioH,1
32237_pldB,3
12409_fbaB,31
7521_cusC,2
15622_galE,1
13087_fepB,2
20447_hisB,2
32290_plsC,2
16714_garR,5
38808_treC,8
34938_purR,13
28794_nanA,4
13529_fepD,1
13520_fepD,28
8512_dapB,32
33720_purD,1
33853_purD,20
32847_psd,2
28323_mtgA,42
41654_wzxE,1
4966_betB,5
41484_wrbA,2
2861_arnB,32
33275_psuK,2
21701_hisJ,1
9332_dgoK,6
9598_dkgB,1
12231_fadJ,1
29413_norW,1
12350_fadL,1
21865_hisM,1
9500_dgoK,5
34921_purN,48
1201_ansA,2
19758_gsiD,2
35934_pyrE,5
38009_tauC,19
23930_kbl,2
2691_arnB,1
7656_cusF,5
16565_garK,7
37371_solA,1
4136_astB,1
6383_coaE,1
24991_ldcA,10
33038_psuG,9
7273_csdA,17
34521_purL,4
37366_solA,2
14192_fepG,1
6734_cpsB,45
4862_betB,98
30087_ompF,53
39813_ugd,5
33751_purD,8
6991_cpsB,7
20084_hisA,96
10828_edd,534
20912_hisD,4
35743_pyrC,1
28987_napC,1
23306_katE,63
2456_argF,24
9651_dkgB,2
17776_glgB,34
22822_hyfH,4
35301_purT,11
41255_wcaJ,11
7869_cysJ,6
10118_dsdA,1
27804_mhpF,3
21425_hisH,1
21251_hisH,36
2640_arnA,3
7406_cusC,1
39763_ubiE,6
8044_cysN,9
25115_ldcC,1
2173_argE,1
9922_dsbC,1
23715_kbl,1
29637_nrfC,1
5921_cirA,5
2918_arnF,1
7545_cusC,4
42023_yeaE,2
23316_katE,2
18147_glnA,1
35790_pyrE,19
34447_purK,3
28207_mrcB,8
20205_hisA,1
6336_clsB,2
39680_tyrA,1
24787_kduD,1
40493_wcaJ,1
2516_arnA,6
7204_cpsG,3
31536_pbpC,1
1333_ansA,20
39669_tyrA,3
6667_cpsB,2
7755_cysE,1
1603_aphA,20
36395_rbsC,4
25923_lpxH,3
29201_narW,134
38759_thrC,2
14343_fepG,1
18403_glpK,3
32522_preA,2
35978_pyrE,23
2382_argE,7
33979_purH,37
20925_hisD,1
29862_nuoI,2
40435_wcaJ,4
12059_fadJ,10
18684_glpX,44
12118_fadJ,2
14378_fepG,1
27895_modB,1
777_allE,10
11074_eutD,1
15405_gabD,1
21236_hisH,33
15873_galE,2
8998_dcuC,1
41358_wcaJ,4
3521_aroH,4
27241_menC,1
34781_purN,42
39231_trxA,5
30673_oppC,1
4940_betB,3
38926_trpD,3
29101_narJ,1
21802_hisJ,1
17353_ghrA,1
25776_lipA,1
13956_fepD,1
29760_nuoI,1
22746_hyfF,2
30317_oppA,3
14734_folK,17
2417_argF,78
34609_purL,1
17965_glgX,1
20240_hisA,24
32080_pheA,33
23967_kdgK,4
33474_purD,2
19048_gnd,110
13497_fepB,1
19114_gnd,3
27526_metC,2
35292_purT,2
33393_psuK,1
34914_purN,5
6927_cpsB,3
7039_cpsB,5
12303_fadL,1
25887_lnt,1
2430_argF,42
20509_hisB,2
33284_psuK,1
20968_hisD,1
1371_ansA,1
2888_arnB,2
24384_kdsD,1
37420_ssuB,1
21524_hisI,3
23766_kbl,1
34363_purH,3
551_acrD,5
27228_mazG,2
4924_betB,1
34836_purN,12
35058_purT,72
19618_gsiC,12
39786_ugd,5
32622_preT,2
26095_lysA,1
36603_rutD,3
17169_gcvP,8
12371_fadL,1
30424_oppA,33
37545_sucC,2
19870_hchA,2
30278_oppA,1
5800_chiP,3
7962_cysM,4
31950_pgpB,4
20862_hisC,1
25034_ldcC,6
6326_clsB,2
9482_dgoK,2
17915_glgP,1
34940_purR,22
25876_lldD,1
2457_argF,73
35947_pyrE,3
35948_pyrE,4
32283_plsC,83
39751_ubiE,3
38817_treC,1
6159_citF,1
13460_fepB,1
19113_gnd,3
17259_gdhA,1
22928_iaaA,3
28225_mrcB,3
23328_katE,1
7048_cpsB,1
15532_gabT,4
10172_dsdA,38
15782_galE,3
36187_rbsC,1
7679_cusF,1
20873_hisC,1
1312_ansA,1
23439_kbl,2
6733_cpsB,44
23065_icd,84
33674_purD,1
23258_katE,1
19687_gsiD,1
2435_argF,137
16979_gatB,4
2958_arnF,5
23374_kbl,1
12267_fadJ,2
38690_thrA,16
10902_entB,1
37339_solA,2
21333_hisH,84
1607_aphA,2
10619_dsdA,4
27466_metC,71
32367_ppc,1
4750_betB,2
8718_dcuC,3
34730_purN,74
24204_kdgK,14
12265_fadJ,8
30459_oppC,38
34069_purH,1
20580_hisC,1
26233_maeA,4
10879_entB,2
12916_fecE,1
23892_kbl,32
2524_arnA,40
41620_wzxE,1
39146_trpE,1
30779_oppC,6
40502_wcaJ,2
18091_glmM,8
40339_ugpQ,1
2039_argD,4
24661_kduD,1
13145_fepB,1
29800_nuoI,28
34917_purN,17
2055_argD,7
34548_purL,3
2829_arnB,3
25044_ldcC,1
35836_pyrE,1
22469_hyfB,1
1595_aphA,13
32772_proB,1
1863_aphA,80
39292_trxA,1
28087_mqo,3
21798_hisJ,2
39659_tyrA,1
34457_purK,1
33326_psuK,5
37651_tauB,5
32796_psd,1
19528_gsiC,3
32391_ppc,5
32270_plsB,1
28939_napA,1
9624_dkgB,3
42111_yejF,4
35027_purT,3
31642_pdxJ,1
23505_kbl,1
15498_gabT,7
30160_ompL,1
17929_glgX,1
32079_pheA,42
41462_wecE,2
7355_cusC,2
34121_purH,1
13746_fepD,1
5888_cirA,1
14110_fepG,1
35588_putA,2
40029_ugd,3
10744_eda,4
3404_aroD,1
2492_argF,76
41060_wcaJ,1
39817_ugd,1
39835_ugd,2
30647_oppC,10
11588_fabH,3
7189_cpsG,1
8837_dcuC,2
23100_ilvA,1
7550_cusC,1
40993_wcaJ,1
11430_fabD,1
13976_fepD,3
20980_hisD,1
21635_hisI,1
14166_fepG,5
7793_cysI,1
28252_msrA,6
14793_folK,2
10158_dsdA,1
8354_dacD,2
25781_lipA,9
34749_purN,13
39197_trxA,1
9899_dsbC,46
5799_chiP,31
23633_kbl,4
29173_narJ,1
32014_pgpB,3
20928_hisD,83
19040_gnd,39
26676_malX,2
19065_gnd,1
32601_preA,1
31145_oppF,1
5118_bioH,3
29542_nrdG,1
5026_bioH,2
18765_glsB,1
22265_hyfA,8
14410_fepG,3
32751_proB,1
2413_argF,38
10375_dsdA,2
22807_hyfF,1
20979_hisD,3
24106_kdgK,6
17265_gdhA,87
25500_leuA,12
11090_eutD,9
37306_solA,1
7895_cysJ,4
21176_hisF,3
23427_kbl,3
37489_sucC,1
24763_kduD,1
35895_pyrE,5
13114_fepB,51
7472_cusC,4
33858_purD,1
20944_hisD,3
6230_citF,4
40641_wcaJ,3
41170_wcaJ,3
12810_fecC,45
30139_ompG,26
8478_dadX,3
17131_gcvP,1
26380_malG,1
26382_malG,4
28494_mtn,3
21479_hisH,1
33016_psuG,2
30025_ompC,63
16104_galE,1
28572_nanA,156
23532_kbl,1
40109_ugd,2
15541_gabT,1
15064_fumC,2
19897_hchA,1
36023_pyrF,3
36407_rbsC,1
17341_ghrA,5
39380_trxA,4
